SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
Fudosan Developers and Agency,AGENT,3 , 92.62 L,1597 ,Tellapur,Under ConstructionConstruction Status,"5,800 / sq ft"
Om Sri Sai Ram Rentals,AGENT,2 , 47 L,1050 ,Nacharam,Ready to moveConstruction Status,"4,476 / sq ft"
seller,OWNER,5 , 2.95 Cr,3000 ,Sainikpuri,Ready to moveConstruction Status,"9,833 / sq ft"
seller,OWNER,4 , 70 L,1485 ,Balapur,Ready to moveConstruction Status,"4,713 / sq ft"
seller,OWNER,2 , 47.79 L,1138 ,Budvel,Ready to moveConstruction Status,"4,200 / sq ft"
seller,OWNER,2 , 34 L,850 ,Miyapur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 46.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"3,873 / sq ft"
seller,OWNER,3 , 1.5 Cr,1850 ,Himayat Nagar,Ready to moveConstruction Status,"8,108 / sq ft"
seller,OWNER,9 , 2.8 Cr,6500 ,Boduppal,Ready to moveConstruction Status,"4,307 / sq ft"
Dream Weavers Realty Consultants Pvt Ltd,AGENT,3 , 62.37 L,1025 ,Aushapur,Under ConstructionConstruction Status,"6,085 / sq ft"
seller,OWNER,2 , 1.85 Cr,1800 ,Malakpet,Ready to moveConstruction Status,"10,277 / sq ft"
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,"4,285 / sq ft"
seller,OWNER,3 , 1.45 Cr,1591 ,East Marredpally,Ready to moveConstruction Status,"9,113 / sq ft"
seller,OWNER,2 , 20 L,1040 ,Shamirpet,Under ConstructionConstruction Status,"1,923 / sq ft"
seller,OWNER,3 , 70 L,1545 ,Manikonda,Ready to moveConstruction Status,"4,530 / sq ft"
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,"7,105 / sq ft"
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,"5,652 / sq ft"
seller,OWNER,3 , 95 L,2600 ,Ramachandra Puram,Ready to moveConstruction Status,"3,653 / sq ft"
seller,OWNER,5 , 2.2 Cr,3800 ,Yapral,Ready to moveConstruction Status,"5,789 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 41 L,1039 ,Kompally,Under ConstructionConstruction Status,"3,946 / sq ft"
seller,OWNER,2 , 60 L,1212 ,Nagole,Ready to moveConstruction Status,"4,950 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 65 L,1185 ,Miyapur,Ready to moveConstruction Status,"5,485 / sq ft"
seller,OWNER,4 , 1.61 Cr,3237 ,Mokila,Under ConstructionConstruction Status,"5,000 / sq ft"
seller,OWNER,3 , 58 L,1470 ,Nizampet,Ready to moveConstruction Status,"3,945 / sq ft"
seller,OWNER,3 , 95 L,1540 ,Moosapet,Ready to moveConstruction Status,"6,168 / sq ft"
seller,OWNER,4 , 1.9 Cr,3200 ,Shamshabad,Under ConstructionConstruction Status,"5,937 / sq ft"
seller,OWNER,3 , 1.75 Cr,2080 ,Tarnaka,Ready to moveConstruction Status,"8,413 / sq ft"
seller,OWNER,5 , 3 Cr,2450 ,Uppal,Ready to moveConstruction Status,"12,244 / sq ft"
seller,OWNER,4 , 48 L,1090 ,Malakpet,Ready to moveConstruction Status,"4,403 / sq ft"
seller,OWNER,Residential Plot, 1.12 Cr,2403 ,Bhanur,ResaleNew/Resale,"4,666 / sq ft"
seller,OWNER,2 , 25 L,1075 ,Medchal,Under ConstructionConstruction Status,"2,325 / sq ft"
